Date,Open,High,Low,Close
24.05.2007,1.34275,1.34714,1.34114,1.3438
25.05.2007,1.3438,1.3438,1.3438,1.3438
26.05.2007,1.3438,1.3438,1.3438,1.3438
27.05.2007,1.34465,1.34579,1.34399,1.34482
28.05.2007,1.34515,1.35183,1.34192,1.34474
29.05.2007,1.34476,1.34563,1.34079,1.34268
30.05.2007,1.34277,1.3471,1.34219,1.34518
31.05.2007,1.34515,1.34602,1.33915,1.34439
01.06.2007,1.34439,1.34439,1.34439,1.34439
02.06.2007,1.34439,1.34439,1.34439,1.34439
03.06.2007,1.3441,1.34978,1.34317,1.34882
04.06.2007,1.34885,1.35515,1.34847,1.35222
05.06.2007,1.35222,1.35371,1.34844,1.35023
06.06.2007,1.35027,1.35113,1.34209,1.34312
07.06.2007,1.34311,1.34344,1.33225,1.33708
08.06.2007,1.33708,1.33708,1.33708,1.33708
09.06.2007,1.33708,1.33708,1.33708,1.33708
10.06.2007,1.33671,1.33711,1.33325,1.33567
11.06.2007,1.33564,1.33683,1.32997,1.33007
12.06.2007,1.33003,1.33144,1.32621,1.33092
13.06.2007,1.33105,1.33221,1.32789,1.33107
14.06.2007,1.33106,1.33877,1.3304,1.33867
15.06.2007,1.33867,1.33867,1.33867,1.33867
16.06.2007,1.33867,1.33867,1.33867,1.33867
17.06.2007,1.33765,1.34171,1.33737,1.34125
18.06.2007,1.34109,1.34343,1.3384,1.34253
19.06.2007,1.34262,1.3436,1.33946,1.34021
20.06.2007,1.34028,1.34066,1.33717,1.33881
21.06.2007,1.33884,1.34683,1.33772,1.34676
22.06.2007,1.34676,1.34676,1.34676,1.34676
23.06.2007,1.34676,1.34676,1.34676,1.34676
24.06.2007,1.34648,1.34719,1.34384,1.34613
25.06.2007,1.34613,1.34764,1.3431,1.34527
26.06.2007,1.34522,1.34578,1.34167,1.34514
27.06.2007,1.34515,1.34788,1.34233,1.34478
28.06.2007,1.34474,1.35404,1.34284,1.35397
29.06.2007,1.35397,1.35397,1.35397,1.35397
30.06.2007,1.35397,1.35416,1.35397,1.35416
01.07.2007,1.35358,1.36374,1.35258,1.36207
02.07.2007,1.36203,1.36348,1.35833,1.36073
03.07.2007,1.36082,1.36299,1.36028,1.36115
04.07.2007,1.36115,1.36574,1.35784,1.35968
05.07.2007,1.35974,1.36396,1.35678,1.36253
06.07.2007,1.36253,1.36253,1.36253,1.36253
07.07.2007,1.36253,1.36253,1.36253,1.36253
08.07.2007,1.36319,1.36372,1.36086,1.36253
09.07.2007,1.36254,1.37471,1.35935,1.37462
10.07.2007,1.37463,1.37822,1.37299,1.37443
11.07.2007,1.37445,1.37971,1.37394,1.37885
12.07.2007,1.37883,1.38103,1.37621,1.37811
13.07.2007,1.37811,1.37811,1.37811,1.37811
14.07.2007,1.37811,1.37811,1.37811,1.37811
15.07.2007,1.37837,1.38019,1.37603,1.37715
16.07.2007,1.37751,1.37974,1.3758,1.37805
17.07.2007,1.37805,1.3831,1.37565,1.38013
18.07.2007,1.38016,1.38284,1.37852,1.38024
19.07.2007,1.38028,1.38418,1.37777,1.38251
20.07.2007,1.38251,1.38251,1.38251,1.38251
21.07.2007,1.38251,1.38251,1.38251,1.38251
22.07.2007,1.38334,1.38452,1.37912,1.38046
23.07.2007,1.38036,1.38515,1.37949,1.38198
24.07.2007,1.38202,1.38313,1.36944,1.37196
25.07.2007,1.37193,1.37714,1.36888,1.37412
26.07.2007,1.37445,1.37539,1.36239,1.36306
27.07.2007,1.36306,1.36306,1.36306,1.36306
28.07.2007,1.36306,1.36306,1.36306,1.36306
29.07.2007,1.36206,1.37075,1.36058,1.3694
30.07.2007,1.36947,1.37274,1.36752,1.36818
31.07.2007,1.36803,1.37099,1.36363,1.36656
01.08.2007,1.3666,1.3705,1.36478,1.37001
02.08.2007,1.36998,1.38178,1.36811,1.37698
03.08.2007,1.37698,1.37698,1.37698,1.37698
04.08.2007,1.37698,1.37698,1.37698,1.37698
05.08.2007,1.3786,1.38387,1.37764,1.37922
06.08.2007,1.3792,1.38148,1.37314,1.37353
07.08.2007,1.37351,1.38259,1.37185,1.37975
08.08.2007,1.3796,1.38167,1.36533,1.36747
09.08.2007,1.36782,1.37049,1.36406,1.36907
10.08.2007,1.36907,1.36907,1.36907,1.36907
11.08.2007,1.36907,1.36907,1.36907,1.36907
12.08.2007,1.36887,1.37091,1.36001,1.36107
13.08.2007,1.36078,1.3625,1.35269,1.35325
14.08.2007,1.3531,1.3539,1.34368,1.34405
15.08.2007,1.344,1.34464,1.33594,1.34237
16.08.2007,1.34244,1.3546,1.33691,1.34721
17.08.2007,1.34721,1.34721,1.34721,1.34721
18.08.2007,1.34721,1.34721,1.34721,1.34721
19.08.2007,1.3476,1.35076,1.34573,1.34731
20.08.2007,1.34726,1.35203,1.34543,1.34645
21.08.2007,1.34641,1.35503,1.34459,1.35403
22.08.2007,1.35421,1.35879,1.35324,1.35645
23.08.2007,1.35627,1.36828,1.35492,1.36725
24.08.2007,1.36725,1.36725,1.36725,1.36725
25.08.2007,1.36725,1.36725,1.36725,1.36725
26.08.2007,1.36745,1.36852,1.36303,1.36436
27.08.2007,1.36432,1.36799,1.35973,1.36016
28.08.2007,1.36015,1.368,1.3557,1.3674
29.08.2007,1.36727,1.36802,1.35883,1.36225
30.08.2007,1.36237,1.37191,1.36158,1.36265
31.08.2007,1.36265,1.36284,1.36265,1.36284
01.09.2007,1.36284,1.36284,1.36284,1.36284
02.09.2007,1.36276,1.36541,1.36017,1.36208
03.09.2007,1.36212,1.3626,1.3548,1.36036
04.09.2007,1.36025,1.36712,1.3566,1.36438
05.09.2007,1.36434,1.37098,1.36308,1.36892
06.09.2007,1.3689,1.37978,1.36601,1.37657
07.09.2007,1.37657,1.37657,1.37657,1.37657
08.09.2007,1.37657,1.37657,1.37657,1.37657
09.09.2007,1.37681,1.38143,1.37644,1.37988
10.09.2007,1.38003,1.38482,1.37756,1.38366
11.09.2007,1.3837,1.39141,1.38207,1.39006
12.09.2007,1.39015,1.39265,1.386,1.38833
13.09.2007,1.38823,1.38947,1.38414,1.38728
14.09.2007,1.38728,1.38728,1.38728,1.38728
15.09.2007,1.38728,1.38728,1.38728,1.38728
16.09.2007,1.3868,1.38899,1.38474,1.38663
17.09.2007,1.38662,1.39889,1.38271,1.39829
18.09.2007,1.3981,1.39867,1.39323,1.39571
19.09.2007,1.3955,1.40993,1.39525,1.40643
20.09.2007,1.40629,1.41195,1.40394,1.40885
21.09.2007,1.40885,1.40885,1.40885,1.40885
22.09.2007,1.40885,1.40885,1.40885,1.40885
23.09.2007,1.40901,1.41293,1.40653,1.40844
24.09.2007,1.40843,1.41538,1.40567,1.4134
25.09.2007,1.41346,1.41628,1.41084,1.41257
26.09.2007,1.41255,1.41892,1.41195,1.41489
27.09.2007,1.41504,1.42772,1.41415,1.42656
28.09.2007,1.42656,1.42656,1.42656,1.42656
